genre,word,number,senti,n
Hip-Hop,wrong,2,negative,30
Hip-Hop,wrong,3,negative,41
Hip-Hop,wrong,4,negative,36
Hip-Hop,wrong,5,negative,37
Indie,alone,1,negative,6
Indie,alone,2,negative,7
Indie,alone,3,negative,2
Indie,alone,4,negative,9
Indie,alone,5,negative,4
Indie,bad,1,negative,4
Indie,bad,2,negative,1
Indie,bad,3,negative,2
Indie,bad,4,negative,1
Indie,bad,5,negative,2
Indie,good,1,positive,9
Indie,good,2,positive,6
Indie,good,3,positive,6
Indie,good,4,positive,6
Indie,good,5,positive,10
Indie,happy,3,positive,3
Indie,happy,4,positive,1
Indie,happy,5,positive,1
Indie,like,1,positive,33
Indie,like,2,positive,25
Indie,like,3,positive,20
Indie,like,4,positive,20
Indie,like,5,positive,23
Indie,lost,1,negative,3
Indie,lost,2,negative,12
Indie,lost,3,negative,4
Indie,lost,4,negative,7
Indie,lost,5,negative,6
Indie,love,1,positive,31
Indie,love,2,positive,29
Indie,love,3,positive,29
Indie,love,4,positive,42
Indie,love,5,positive,44
Indie,no,1,negative,17
Indie,no,2,negative,30
Indie,no,3,negative,27
Indie,no,4,negative,24
Indie,no,5,negative,34
Indie,want,1,positive,10
Indie,want,2,positive,13
Indie,want,3,positive,20
Indie,want,4,positive,14
Indie,want,5,positive,15
Indie,wrong,1,negative,2
Indie,wrong,2,negative,1
Indie,wrong,3,negative,4
Indie,wrong,4,negative,5
Indie,wrong,5,negative,1
Jazz,alone,1,negative,15
Jazz,alone,2,negative,13
Jazz,alone,3,negative,16
Jazz,alone,4,negative,15
Jazz,alone,5,negative,10
Jazz,bad,1,negative,7
Jazz,bad,2,negative,4
Jazz,bad,3,negative,4
Jazz,bad,4,negative,5
Jazz,bad,5,negative,6
Jazz,good,1,positive,22
Jazz,good,2,positive,21
Jazz,good,3,positive,28
Jazz,good,4,positive,28
Jazz,good,5,positive,32
Jazz,happy,1,positive,16
Jazz,happy,2,positive,10
Jazz,happy,3,positive,8
Jazz,happy,4,positive,11
Jazz,happy,5,positive,10
Jazz,like,1,positive,67
Jazz,like,2,positive,71
Jazz,like,3,positive,63
